title,price,size,productUrl,imageUrl,category,brand
Colgate Max Fresh Cool Mint Toothpaste,$8.85,200g,https://www.igashop.com.au/product/515000,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/515000.jpg",Tooth Paste,Colgate
Colgate Max White Toothbrush Medium with polishing star,$5.00,1,https://www.igashop.com.au/product/14465,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/14465.jpg",Tooth Brushes,Colgate
Colgate Max White with Polishing Star Toothbrush Soft,$5.00,1,https://www.igashop.com.au/product/14449,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/14449.jpg",Tooth Brushes,Colgate
Colgate Mouthwash Plax Gentle Care,$6.20,500ml,https://www.igashop.com.au/product/375633,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/375633.jpg",Mouthwash,Colgate
Colgate Optic White Enamel White Teeth Whitening Toothpaste,$6.00,140g,https://www.igashop.com.au/product/3749,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/3749.jpg",Tooth Paste,Colgate
Colgate Optic White Express White Toothpaste,$10.00,85g,https://www.igashop.com.au/product/292990,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/292990.jpg",Tooth Paste,Colgate
Colgate Optic White High Impact Teeth Whitening Toothpaste,$10.00,85g,https://www.igashop.com.au/product/600067,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/600067.jpg",Tooth Paste,Colgate
Colgate Optic White Sparkling White Teeth Whitening Toothpaste,$6.00,140g,https://www.igashop.com.au/product/377452,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/377452.jpg",Tooth Paste,Colgate
Colgate Peppa Pig Kids Toothbrush Extra Soft 2-5 Years,$4.00,1,https://www.igashop.com.au/product/404262,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/404262.jpg",Tooth Brushes,Colgate
Colgate Plax Alcohol Free Freshmint Mouthwash,$6.20,500ml,https://www.igashop.com.au/product/454746,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/454746.jpg",Mouthwash,Colgate
Colgate Plax Alcohol Free Mouthwash Freshmint,$4.50,250ml,https://www.igashop.com.au/product/373704,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/373704.jpg",Mouthwash,Colgate
Colgate Plax Alcohol Free Mouthwash Freshmint,$10.00,1l,https://www.igashop.com.au/product/66491,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/66491.jpg",Mouthwash,Colgate
Colgate Plax Alcohol Free Mouthwash Peppermint,$6.20,500ml,https://www.igashop.com.au/product/454754,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/454754.jpg",Mouthwash,Colgate
Colgate Regular Pump Toothpaste,$6.00,130g,https://www.igashop.com.au/product/591399,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/591399.jpg",Tooth Paste,Colgate
Colgate Sensitive Pro-Relief Enamel Repair Sensitive Teeth Pain Toothpaste,$9.00,110g,https://www.igashop.com.au/product/336561,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/336561.jpg",Tooth Paste,Colgate
Colgate Sensitive ProRelief Multi Protection Sensitive Teeth Pain Toothpaste,$9.00,110g,https://www.igashop.com.au/product/311503,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/311503.jpg",Tooth Paste,Colgate
Colgate Sensitive Prorelief Whitening Teeth Pain Toothpaste,$9.00,110g,https://www.igashop.com.au/product/54046,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/54046.jpg",Tooth Paste,Colgate
