name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Light Rye Vienna Sourdough 550g,$3.69,https://www.aldi.com.au/products/bakers-life-light-rye-vienna-sourdough-550g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/a4c5cd36-cd59-46f2-8552-feaf6f5a6628/bakers-life-light-rye-vienna-sourdough-550g,Bakery,Speciality Breads & Rolls,BAKERS LIFE,550g,BAKERS LIFE
Wholemeal Bread Rolls 6 Pack 450g,$2.69,https://www.aldi.com.au/products/billie-s-bakehouse-wholemeal-bread-rolls-6-pack-450g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/38abba89-87e1-457b-ad5b-99d6c49d40fc/billie-s-bakehouse-wholemeal-bread-rolls-6-pack-450g,Bakery,Speciality Breads & Rolls,BILLIE'S BAKEHOUSE,6,BILLIE'S BAKEHOUSE
Gluten Free  Wholemeal Loaf 450g,$4.99,https://www.aldi.com.au/products/bakers-life-gluten-free-wholemeal-loaf-450g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/c7d41ee3-2c95-47be-964f-298cd7353f24/bakers-life-gluten-free-wholemeal-loaf-450g,Bakery,Sliced Breads,BAKERS LIFE,450g,BAKERS LIFE
Bakehouse Gluten Free White Bread 440g,$4.99,https://www.aldi.com.au/products/bakers-life-bakehouse-gluten-free-white-bread-440g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/52a5a3b5-ca9c-46bd-a453-47972ea7fd8e/bakers-life-bakehouse-gluten-free-white-bread-440g,Bakery,Sliced Breads,BAKERS LIFE,440g,BAKERS LIFE
Bakehouse Gluten Free Seeded Bread 450g,$4.99,https://www.aldi.com.au/products/bakers-life-bakehouse-gluten-free-seeded-bread-450g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/e2d6fbbb-d170-4c83-8e97-1dffecf61ac6/bakers-life-bakehouse-gluten-free-seeded-bread-450g,Bakery,Sliced Breads,BAKERS LIFE,450g,BAKERS LIFE
Triple Choc Cookies 5 Pack 320g,$3.49,https://www.aldi.com.au/products/billie-s-bakehouse-triple-choc-cookies-5-pack-320g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/c7594a54-260f-4c72-b189-7bf9f3cb30fd/billie-s-bakehouse-triple-choc-cookies-5-pack-320g,Bakery,"Muffins, Cakes & Other",BILLIE'S BAKEHOUSE,5,BILLIE'S BAKEHOUSE
White Loaf 800g,$2.99,https://www.aldi.com.au/products/billie-s-bakehouse-white-loaf-800g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/2f2daf61-80a1-483b-afc2-f01475018eea/billie-s-bakehouse-white-loaf-800g,Bakery,Sliced Breads,BILLIE'S BAKEHOUSE,800g,BILLIE'S BAKEHOUSE
Gluten Free Sweet Potato Wraps 5 Pack 210g,$7.29,https://www.aldi.com.au/products/bfree-gluten-free-sweet-potato-wraps-5-pack-210g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/5a48da2c-c0d4-4e6b-9656-409bedba2d02/bfree-gluten-free-sweet-potato-wraps-5-pack-210g,Bakery,Speciality Breads & Rolls,BFREE,210g,Bfree
Wholemeal Loaf 800g,$2.99,https://www.aldi.com.au/products/billie-s-bakehouse-wholemeal-loaf-800g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/ca610ac7-13ba-4fcc-ad8d-9e3821196161/billie-s-bakehouse-wholemeal-loaf-800g,Bakery,Sliced Breads,BILLIE'S BAKEHOUSE,800g,BILLIE'S BAKEHOUSE
Mini Sesame Milk Rolls 9 Pack 360g,$3.49,https://www.aldi.com.au/products/bakers-life-mini-sesame-milk-rolls-9-pack-360g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/d7875439-3d72-4c67-889b-139fe215d390/bakers-life-mini-sesame-milk-rolls-9-pack-360g,Bakery,Speciality Breads & Rolls,BAKERS LIFE,360g,BAKERS LIFE
Roasted Garlic Wraps 8 Pack 560g,$3.99,https://www.aldi.com.au/products/bakers-life-roasted-garlic-wraps-8-pack-560g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f3160b6f-839a-4923-90c4-7315302e3a65/bakers-life-roasted-garlic-wraps-8-pack-560g,Bakery,Speciality Breads & Rolls,BAKERS LIFE,560g,BAKERS LIFE
Grains & Seeds Wholemeal Loaf 750g,$3.19,https://www.aldi.com.au/products/bakers-life-grains-seeds-wholemeal-loaf-750g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/08d9adea-bb0a-48c9-969b-459582b4922d/bakers-life-grains-seeds-wholemeal-loaf-750g,Bakery,Sliced Breads,BAKERS LIFE,750g,BAKERS LIFE
Barbie Snack Cake 10 Pack 250g,$1.99,https://www.aldi.com.au/products/freddi-barbie-snack-cake-10-pack-250g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/55645774-373f-493f-aabd-6b8b780d2f57/freddi-barbie-snack-cake-10-pack-250g,Bakery,"Muffins, Cakes & Other",FREDDI,250g,FREDDI
Lamington Fingers 18 Pack 350g,$3.49,https://www.aldi.com.au/products/the-cake-stall-lamington-fingers-18-pack-350g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/a5012d19-2587-44e9-a921-9d51c2d9db2a/the-cake-stall-lamington-fingers-18-pack-350g,Bakery,"Muffins, Cakes & Other",THE CAKE STALL,350g,THE CAKE STALL
Mini Chocolate Chip Muffins 9 Pack 315g,$3.99,https://www.aldi.com.au/products/the-cake-stall-mini-chocolate-chip-muffins-9-pack-315g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/1f27b876-9f4b-46f5-801d-628e675c05cd/the-cake-stall-mini-chocolate-chip-muffins-9-pack-315g,Bakery,"Muffins, Cakes & Other",THE CAKE STALL,315g,THE CAKE STALL
Raisin Toast 500g,$2.99,https://www.aldi.com.au/products/bakers-life-raisin-toast-500g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/00c6946e-7da0-494d-b384-03bc53c41d5e/bakers-life-raisin-toast-500g,Bakery,Sliced Breads,BAKERS LIFE,500g,BAKERS LIFE
Café Style Raisin Loaf 600g,$3.59,https://www.aldi.com.au/products/bakers-life-cafe-style-raisin-loaf-600g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/ed8c9ef3-9082-4537-920d-4fc66c45a8c3/bakers-life-cafe-style-raisin-loaf-600g,Bakery,Sliced Breads,BAKERS LIFE,600g,BAKERS LIFE
